otomoto_id,title,subtitle,href,year,mileage,engine,fuel_type,price,price_currency,price_details,location_city,location_region
6074479345,"Mercedes-Benz CLA 180","Piękny czekoladowy ! Mercedes CLA 180 Shooting Brake .",https://www.otomoto.pl/oferta/mercedes-benz-cla-piekny-czekoladowy-mercedes-cla-180-shooting-brake-ID6D5Tzj.html#387e62c833,2017,36000,15953,Benzyna,85900,PLN,"Do negocjacji","Słupsk",Pomorskie
6077748745,"Mercedes-Benz CLA","180 CDI, Serwis ASO, Skóra, Navi, Xenon, Bi-Xenon, Klima",https://www.otomoto.pl/oferta/mercedes-benz-cla-180-cdi-serwis-aso-skora-navi-xenon-bi-xenon-klima-ID6DjC5z.html#387e62c833,2016,90036,14613,Diesel,75000,PLN,"","Katowice",Śląskie
6077316001,"Mercedes-Benz CLA 200","Mercedes CLA200 Bogato wyposażony skóra klima navi pakiet Junge Sterne",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-cla200-bogato-wyposazony-skora-klima-navi-pakiet-junge-sterne-ID6DhNwP.html#387e62c833,2014,66000,15953,Benzyna,79500,PLN,"","Gniezno",Wielkopolskie
6074532842,"Mercedes-Benz CLA","Mercedes Benz CLA 250 211 KM AMG FUL LED FUL PL! Sprzedaż lub zamiana!",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-benz-cla-250-211-km-amg-ful-led-ful-pl-sprzedaz-lub-zamiana-ID6D67ua.html#387e62c833,2017,50000,19993,Benzyna,99000,PLN,"","Siedlce",Mazowieckie
6077982488,"Mercedes-Benz CLA 250","Nowy Dostępny od Zaraz Zarejestrowany Bez przebiegu",https://www.otomoto.pl/oferta/mercedes-benz-cla-nowy-dostepny-od-zaraz-zarejestrowany-bez-przebiegu-ID6DkATC.html#387e62c833,2020,1,19913,Benzyna,248900,PLN,"Do negocjacji","Wrocław",Dolnośląskie
6078016106,"Mercedes-Benz CLA 200","2013r,sedan,navi,skóra,pełna wersja,Możliwość zamiany.",https://www.otomoto.pl/oferta/mercedes-benz-cla-2013r-sedan-navi-skora-pelna-wersja-mozliwosc-zamiany-ID6DkJDQ.html#387e62c833,2013,191000,15953,Benzyna,66700,PLN,"Do negocjacji","Rokiciny",Łódzkie
6077668005,"Mercedes-Benz CLA","NOWY 2020r Mercedes CLA AMG Shooting Brake",https://www.otomoto.pl/oferta/mercedes-benz-cla-nowy-2020r-mercedes-cla-amg-shooting-brake-ID6Djh5j.html#387e62c833,2019,562,15953,Benzyna,76900,PLN,"Do negocjacji, Faktura VAT","Kielce",Świętokrzyskie
6053349604,"Mercedes-Benz CLA","Mercedes CLA250 2.0 benzyna 4 matic niski przebieg w cenie 79 999,00",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-cla250-2-0-benzyna-4-matic-niski-przebieg-w-cenie-79-999-00-ID6BFeL2.html#387e62c833,2015,26000,20003,Benzyna,79999,PLN,"Do negocjacji","Wyszków",Mazowieckie
6078032838,"Mercedes-Benz CLA 45","Mercedes CLA 45 AMG 4MATIC Coupe",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-cla-45-amg-4matic-coupe-ID6DkNZI.html#387e62c833,2014,113000,19913,Benzyna,124999,PLN,"Do negocjacji, Faktura VAT","Gdańsk",Pomorskie
6067236577,"Mercedes-Benz CLA 200","Salon Polska 1 właściciel Pakiet AMG LINE",https://www.otomoto.pl/oferta/mercedes-benz-cla-salon-polska-1-wlasciciel-pakiet-amg-line-ID6CBwot.html#387e62c833,2013,194000,15953,Benzyna,69999,PLN,"","Słupsk",Pomorskie
